"baseline_score","doc_id"
92.31,"3198"
83.33,"3199"
94.0,"32"
93.18,"320"
87.5,"3200"
65.0,"3201"
78.57,"3202"
60.0,"3203"
92.86,"3204"
88.46,"3205"
93.75,"3206"
91.67,"3207"
94.12,"3208"
92.86,"3209"
94.92,"321"
92.31,"3210"
60.0,"3211"
96.0,"3212"
81.82,"3213"
85.71,"3214"
92.86,"3215"
85.71,"3216"
73.91,"3217"
94.44,"3218"
80.77,"3219"
95.0,"322"
93.33,"3220"
91.67,"3221"
77.78,"3222"
95.0,"3223"
100.0,"3224"
75.0,"3225"
90.0,"3226"
90.0,"3227"
82.76,"3228"
90.0,"3229"
80.0,"323"
83.33,"3230"
80.0,"3231"
91.67,"3232"
83.33,"3233"
92.0,"3234"
83.33,"3235"
50.0,"3236"
88.89,"3237"
60.0,"3238"
100.0,"3239"
80.0,"324"
90.0,"3240"
83.33,"3244"
100.0,"3245"
85.71,"3246"
40.0,"3247"
83.33,"3248"
75.0,"3249"
100.0,"325"
100.0,"3250"
62.5,"3251"
92.31,"3252"
76.92,"3253"
30.0,"3254"
92.31,"3255"
91.67,"3256"
87.5,"3257"
90.0,"3258"
83.33,"3259"
87.5,"326"
90.91,"3260"
91.67,"3261"
93.75,"3262"
95.0,"3263"
75.0,"3264"
93.33,"3265"
100.0,"3266"
87.88,"3267"
96.0,"3268"
90.91,"3269"
100.0,"327"
87.5,"3270"
81.25,"3271"
94.12,"3272"
87.5,"3273"
83.33,"3274"
66.67,"3275"
80.0,"3276"
95.24,"3277"
88.89,"3278"
58.06,"3279"
75.0,"328"
92.86,"3280"
87.5,"3281"
92.31,"3282"
92.31,"3283"
85.71,"3284"
88.89,"3285"
88.89,"3286"
92.86,"3287"
87.5,"3288"
90.0,"3289"
100.0,"329"
75.0,"3299"
76.8,"33"
100.0,"330"
80.0,"3300"
71.43,"3301"
100.0,"3302"
88.89,"3303"
90.91,"3304"
88.89,"3305"
85.71,"3306"
87.5,"3307"
94.44,"3308"
92.31,"3309"
100.0,"331"
100.0,"332"
100.0,"333"
100.0,"334"
100.0,"335"
75.0,"336"
100.0,"337"
72.13,"338"
100.0,"339"
79.27,"340"
90.0,"341"
85.0,"342"
88.89,"343"
94.44,"344"
85.71,"345"
100.0,"346"
92.86,"347"
91.67,"3472"
60.0,"3473"
94.17,"3474"
91.23,"3475"
100.0,"348"
91.67,"349"
64.04,"3493"
81.18,"3495"
89.19,"3497"
96.3,"3498"
79.56,"35"
80.0,"350"
87.1,"3503"
80.0,"3505"
42.86,"3506"
90.0,"3507"
78.38,"3508"
100.0,"351"
90.2,"3511"
87.5,"3513"
92.65,"3515"
92.2,"3516"
95.35,"3517"
81.71,"3518"
90.0,"3519"
77.78,"352"
93.24,"3520"
94.74,"3522"
88.55,"3523"
79.31,"3524"
92.16,"3526"
0.0,"3527"
100.0,"3528"
91.3,"3529"
90.0,"353"
89.86,"3530"
0.0,"3532"
0.0,"3533"
60.0,"3536"
0.0,"3537"
84.08,"3538"
84.87,"3539"
91.67,"354"
84.16,"3540"
83.08,"3541"
80.31,"3542"
83.33,"3543"
86.96,"3544"
70.0,"3545"
95.16,"3546"
98.48,"3547"
0.0,"3549"
80.0,"355"
59.57,"3550"
0.0,"3551"
96.88,"3552"
30.0,"3553"
90.24,"3554"
82.91,"3555"
73.33,"3556"
88.89,"3557"
48.08,"3558"
84.42,"3559"
66.67,"356"
63.16,"3560"
91.43,"3561"
90.91,"3562"
87.5,"3563"
70.0,"3564"
64.71,"3565"
100.0,"357"
84.62,"3570"
92.5,"3571"
70.83,"3572"
82.35,"3573"
76.92,"3574"
75.0,"3575"
78.05,"3576"
76.92,"3577"
77.78,"3578"
93.33,"3579"
93.55,"358"
81.82,"3580"
91.07,"3581"
45.35,"3582"
0.0,"3583"
90.0,"3584"
77.42,"3585"
95.74,"3586"
94.12,"3587"
81.25,"3588"
70.0,"3589"
50.0,"359"
94.12,"3591"
87.69,"3592"
96.83,"3593"
88.89,"3598"
87.5,"36"
100.0,"360"
77.27,"3602"
100.0,"3603"
95.08,"3605"
80.0,"3607"
76.92,"3608"
80.0,"3609"
100.0,"361"
77.78,"3610"
81.82,"3611"
91.67,"3612"
0.0,"3613"
86.42,"3615"
81.25,"3617"
84.62,"3618"
72.73,"3619"
86.36,"362"
100.0,"3620"
87.5,"3621"
80.49,"3622"
86.36,"3623"
83.33,"3624"
54.55,"3625"
87.5,"3626"
0.0,"3627"
93.33,"363"
70.37,"3630"
92.86,"3631"
75.0,"3632"
88.0,"3633"
40.0,"3634"
88.68,"3635"
96.0,"3636"
91.67,"3637"
75.0,"3638"
77.78,"3639"
100.0,"364"
92.31,"3640"
91.67,"3641"
91.67,"3642"
92.59,"3643"
87.5,"3644"
85.0,"3645"
83.33,"3646"
71.43,"3647"
84.21,"3648"
85.83,"3649"
100.0,"365"
81.82,"3650"
79.31,"3651"
82.35,"3652"
57.14,"3653"
82.35,"3654"
57.14,"3655"
0.0,"3656"
84.62,"3657"
57.14,"3658"
87.5,"3659"
100.0,"366"
90.0,"3660"
92.31,"3661"
85.71,"3662"
55.56,"3663"
83.33,"3664"
80.0,"3665"
69.23,"3666"
90.0,"3667"
89.47,"3668"
77.78,"3669"
71.43,"367"
91.3,"3670"
66.67,"3671"
60.0,"3672"
81.82,"3673"
75.0,"3674"
81.82,"3675"
85.19,"3676"
89.19,"3677"
61.29,"3678"
90.91,"3679"
100.0,"368"
85.0,"3680"
66.67,"3681"
92.86,"3682"
95.65,"3683"
90.91,"3684"
81.82,"3685"
78.57,"3686"
88.0,"3687"
81.48,"3688"
96.03,"3689"
90.0,"369"
42.66,"3690"
0.0,"3691"
51.28,"3692"
91.67,"3693"
91.67,"3694"
91.67,"3695"
59.09,"3696"
87.5,"3697"
76.92,"3698"
75.0,"3699"
79.17,"37"
100.0,"370"
75.0,"3700"
77.78,"3701"
81.82,"3702"
0.0,"3703"
55.56,"3704"
83.33,"3705"
90.0,"3706"
92.86,"3707"
88.24,"3708"
94.74,"3709"
90.0,"371"
82.46,"3710"
63.16,"3711"
27.78,"3712"
79.59,"3713"
72.73,"3714"
92.31,"3715"
100.0,"3716"
28.57,"3717"
90.0,"3718"
66.67,"3719"
80.0,"372"
96.97,"3720"
79.41,"3721"
78.95,"3722"
85.71,"3723"
92.86,"3724"
100.0,"3725"
84.62,"3726"
68.75,"3727"
100.0,"3728"
73.33,"3729"
88.89,"373"
85.71,"3730"
47.37,"3731"
76.19,"3732"
90.0,"3733"
91.67,"3734"
85.71,"3735"
82.35,"3736"
82.35,"3737"
95.0,"3738"
45.45,"3739"
84.62,"374"
88.46,"3740"
78.95,"3741"
93.33,"3742"
90.0,"3743"
86.36,"3744"
88.89,"3745"
72.73,"3746"
72.09,"3747"
91.67,"3748"
77.78,"3749"
94.74,"375"
100.0,"3750"
88.24,"3751"
73.91,"3752"
100.0,"3753"
90.0,"3754"
100.0,"3755"
100.0,"3756"
94.12,"3757"
85.71,"3758"
100.0,"3759"
94.55,"376"
83.33,"3760"
100.0,"3761"
100.0,"3762"
60.0,"3763"
70.0,"3764"
100.0,"3765"
76.92,"3766"
94.44,"3767"
85.71,"3768"
82.86,"3769"
90.91,"377"
93.33,"3770"
87.5,"3771"
63.64,"3772"
25.0,"3773"
69.57,"3774"
89.47,"3775"
89.29,"3776"
66.67,"3777"
81.25,"3779"
85.71,"378"
100.0,"3780"
75.0,"3781"
80.0,"3782"
75.0,"3783"
52.38,"3784"
75.0,"3785"
76.19,"3786"
75.61,"3787"
94.74,"3788"
75.0,"3789"
62.5,"379"
90.0,"3790"
50.0,"3791"
90.91,"3792"
83.33,"3793"
90.0,"3794"
66.67,"3795"
81.25,"3796"
71.43,"3797"
88.89,"3798"
93.33,"3799"
80.36,"38"
84.38,"380"
83.33,"3800"
75.68,"3801"
